keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00159,D-Mannose,C6H12O6,3459,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010110101010001110,18950.0
cpd:C00275,D-Mannose 6-phosphate,C6H13O9P,3572,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000000000111000000100010001001001000000000011011001110000101100100101010110101010001110,65127.0
cpd:C01222,GDP-4-dehydro-6-deoxy-D-mannose,C16H23N5O15P2,4444,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O,00000000000000000000000001000100000000100001000010000110010000100100010010010101100111000111100111100110011001101100010011111111001111011101101101101011111111111111110,135398621.0
cpd:C00096,GDP-mannose,C16H25N5O16P2,3396,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N,00000000000000000000000001000100000000100001000010000110010000100100010010010101101111000111100111100110011001101100010011111111001111011111101101101011111111110111110,135398627.0
cpd:C00636,D-Mannose 1-phosphate,C6H13O9P,3909,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000001000000111000000100010001001001000000000011011001110000101100100101010110101010001110,439279.0
cpd:C01094,D-Fructose 1-phosphate,C6H13O9P,4329,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000001100000111000010000010101001001000000000011011101110000111100100101010110101010000110,439394.0
cpd:C01934,L-Rhamnonate,C6H12O6,5039,C[C@@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000100000000000000000000000000000000010000000100000001100000100000101001011000100,6602429.0
cpd:C01099,L-Fuculose 1-phosphate,C6H13O8P,4333,C[C@@H]([C@H]([C@H](C(=O)COP(=O)(O)O)O)O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000000000000111000000000010001001001000000000001010001110001001100000101000111101011000100,6857415.0
cpd:C01019,6-Deoxy-L-galactose,C6H12O5,4264,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100000000100000000000000000000000010001000100000101100100100010100001011001110,17106.0
cpd:C18028,"L-Fucono-1,5-lactone",C6H10O5,96024248,C[C@H]1[C@H]([C@H]([C@@H](C(=O)O1)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100000000100000000000000000000000010001000100000101100100100010101001011001110,445948.0
cpd:C03827,2-Dehydro-3-deoxy-L-fuconate,C6H10O5,6570,C[C@@H]([C@H](CC(=O)C(=O)O)O)O,00000000000000000000000000000000000000000000000000000010000000000000000010000000000000000110000000000000100000000000100000010000000110001001100000100000101101011000100,5459931.0
cpd:C00794,D-Sorbitol,C6H14O6,4052,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000000000000110000011100000100000110101010000100,5780.0
